,Game ID,White Rating,Black Rating,Average Rating,Opening ECO,# of Opening Ply,White avg Centi-pawn Loss,White # of Inaccuracies,White # of Mistakes,White # of Blunders,Black avg Centi-pawn Loss,Black # of Inaccuracies,Black # of Mistakes,Black # of Blunders
0,INsmJbjv,1506,1522,1514,B30,4,104,7,7,4,89,4,2,8
1,tsrh7b3C,1617,1623,1620,A45,2,73,5,0,2,34,3,1,1
2,PNyDgsyD,1454,1538,1496,A45,2,93,6,1,3,87,4,3,4
3,wqx5pRXo,1621,1665,1643,D00,3,46,2,2,0,62,3,2,1
4,PNyDgsyD,1454,1538,1496,A45,2,93,6,1,3,87,4,3,4
5,INsmJbjv,1506,1522,1514,B30,4,104,7,7,4,89,4,2,8
6,34Iw0d1I,1639,1641,1640,D40,8,69,2,0,3,47,2,0,2
7,EJCmKinv,1544,1584,1564,E10,6,87,4,4,1,121,5,1,2
8,34Iw0d1I,1639,1641,1640,D40,8,69,2,0,3,47,2,0,2
9,yzwFnL9b,1448,1406,1427,D00,3,43,1,2,2,67,0,3,2
10,ZPUeTN3G,1616,1615,1615,A45,2,124,6,4,6,99,1,1,7
11,ch6iRDJ4,1626,1634,1630,A45,2,93,4,2,2,135,1,0,6
12,34Iw0d1I,1639,1641,1640,D40,8,69,2,0,3,47,2,0,2
13,ZPUeTN3G,1616,1615,1615,A45,2,124,6,4,6,99,1,1,7
14,tsrh7b3C,1617,1623,1620,A45,2,73,5,0,2,34,3,1,1
15,yzwFnL9b,1448,1406,1427,D00,3,43,1,2,2,67,0,3,2
16,ch6iRDJ4,1626,1634,1630,A45,2,93,4,2,2,135,1,0,6
17,YsZ8D69u,1646,1654,1650,A40,2,94,3,1,3,71,4,1,3
18,EJCmKinv,1544,1584,1564,E10,6,87,4,4,1,121,5,1,2
19,INsmJbjv,1506,1522,1514,B30,4,104,7,7,4,89,4,2,8
20,ZPUeTN3G,1616,1615,1615,A45,2,124,6,4,6,99,1,1,7
21,ch6iRDJ4,1626,1634,1630,A45,2,93,4,2,2,135,1,0,6
22,EJCmKinv,1544,1584,1564,E10,6,87,4,4,1,121,5,1,2
23,wqx5pRXo,1621,1665,1643,D00,3,46,2,2,0,62,3,2,1
24,yzwFnL9b,1448,1406,1427,D00,3,43,1,2,2,67,0,3,2
25,yzwFnL9b,1448,1406,1427,D00,3,43,1,2,2,67,0,3,2
26,wqx5pRXo,1621,1665,1643,D00,3,46,2,2,0,62,3,2,1
27,ch6iRDJ4,1626,1634,1630,A45,2,93,4,2,2,135,1,0,6
28,ZPUeTN3G,1616,1615,1615,A45,2,124,6,4,6,99,1,1,7
29,YsZ8D69u,1646,1654,1650,A40,2,94,3,1,3,71,4,1,3
30,PNyDgsyD,1454,1538,1496,A45,2,93,6,1,3,87,4,3,4
31,tsrh7b3C,1617,1623,1620,A45,2,73,5,0,2,34,3,1,1
32,YsZ8D69u,1646,1654,1650,A40,2,94,3,1,3,71,4,1,3
33,PNyDgsyD,1454,1538,1496,A45,2,93,6,1,3,87,4,3,4
34,wqx5pRXo,1621,1665,1643,D00,3,46,2,2,0,62,3,2,1
35,INsmJbjv,1506,1522,1514,B30,4,104,7,7,4,89,4,2,8
36,tsrh7b3C,1617,1623,1620,A45,2,73,5,0,2,34,3,1,1
37,YsZ8D69u,1646,1654,1650,A40,2,94,3,1,3,71,4,1,3
38,34Iw0d1I,1639,1641,1640,D40,8,69,2,0,3,47,2,0,2
39,EJCmKinv,1544,1584,1564,E10,6,87,4,4,1,121,5,1,2
