Game ID,White Rating,Black Rating,Opening ECO,Opening Ply,White Centi-pawn Loss,White's Number of Inaccuracies,White's Number of Mistakes,White's Number of Blunders,Black Centi-pawn Loss,Black's Number of Inaccuracies,Black's Number of Mistakes,Black's Number of Blunders,Match Ranking
J7Xvjkte,1441,1559,C20,4,32,2,2,0,87,2,4,1,
SSzpi7W1,1258,1567,C46,6,43,0,0,1,6,0,0,0,
NHpcYm3r,1697,1712,C68,7,11,1,0,0,42,1,0,2,
Nrzmgzmn,1978,1868,D31,5,21,3,0,0,53,6,0,1,
xMuFsnC6,2073,1816,A01,2,35,3,2,0,50,6,3,0,
gcdFqoqK,1944,2052,C44,9,79,3,0,2,62,3,1,1,
eZ6Kt1Zm,1500,2058,C50,6,50,4,1,1,91,5,1,3,
goJh6Ftp,1880,1919,D80,7,9,0,0,0,49,3,1,0,
mhAd7u5k,2209,2185,B06,7,93,4,3,4,71,4,4,2,
iOL4E4gz,2296,2323,D32,6,65,2,4,2,32,4,0,1,
SsaU8AX3,2320,2305,C00,3,65,3,2,2,105,2,0,5,
ZWIVRGiN,1751,2303,A46,3,61,5,0,1,36,4,0,1,
nZmqVwZX,2301,1949,D40,9,34,4,2,3,44,5,5,3,
o7JC8edy,2299,1914,D32,6,44,3,0,2,89,2,1,3,
sZ2CkFPn,2089,2304,C02,9,55,6,0,4,59,3,0,4,
9Jhq5bqU,2297,2041,A53,6,90,7,1,4,109,7,3,3,
oI8cnVMo,1630,1551,C10,6,31,0,1,0,141,2,0,2,
uqIOFuMg,1208,1560,A41,2,66,7,3,1,78,6,1,4,
kfwOG81F,1808,2175,B22,8,65,0,0,1,12,0,0,0,
FLYuGOKd,2171,1668,B18,11,39,2,0,2,81,2,2,3,
BJisK5oE,1085,2171,B40,4,72,5,1,1,18,2,0,0,
tb4y2PYU,1688,1718,B01,6,93,1,4,4,119,4,5,4,
6YGRS7r6,1651,1675,C23,3,73,6,2,1,112,2,2,1,
uSEXs5ef,1625,1619,B01,6,18,0,0,0,141,1,0,1,
e3LHotif,1464,1545,A02,1,111,3,6,8,111,7,5,6,
1K52fvjM,1535,1585,B12,7,127,5,4,10,127,2,6,9,
JALt4jRq,1883,1899,C50,6,84,6,1,3,118,1,5,3,
IafP4GEu,1921,1901,B01,4,69,5,4,1,41,5,0,3,
aXki7Czn,1595,1483,D00,3,42,7,0,2,11,4,0,1,
sgd6mpSF,1603,1727,A45,2,48,8,3,2,30,7,2,0,
ykAorlOS,1615,1965,D12,8,42,3,0,1,5,1,0,0,
emMhtQ4R,2033,1902,C07,7,41,3,1,0,12,0,0,0,
x9x6LyFi,1901,1572,A10,2,37,2,1,1,77,2,1,4,
42o0cHGO,1896,1692,A20,2,14,0,0,0,43,6,0,0,
O7Moac8w,1830,1875,C02,9,42,2,1,1,7,0,0,0,
EHlwbfru,1472,1284,B40,4,31,3,0,0,30,2,0,0,
RRP5PLEt,1958,1977,A14,9,28,5,1,2,44,4,1,3,
