Rank,Title,Username,Rating,Score,Performance,Team
1,GM,HomayooonT,2876,901,2847,
2,GM,Experience_Chess,2865,801,2856,
3,CM,papasi,2514,712,2522,
4,FM,Ragehunter,2536,681,2559,
5,FM,Artem_0degov,2543,673,2511,
6,,Nacho_Varga,2546,635,2510,
7,GM,Crest64,2766,584,2695,
8,FM,nfds,2588,584,2593,
9,,Gakolchess765,2679,569,2602,
10,,Serg_01,2603,565,2620,
11,LM,Lance5500,2555,564,2544,
12,IM,samisahi,2711,559,2634,
13,,Semenychev_Alexander,2548,515,2496,
14,,Bakhtiyar_Askarov,2676,491,2681,
15,,KruemelMoonster,2501,488,2439,
16,,Wu_Kong,2491,481,2487,
17,IM,SavvaVetokhin2009,2535,480,2439,
18,GM,Ferrum89,2577,478,2488,
19,FM,Taktychenko,2474,476,2443,
20,,GGbers,2462,465,2428,
21,,sashmat,2482,460,2464,
22,,NURHAN2020,2479,458,2440,
23,,PisTron,2391,458,2302,
24,,Tristan16,2503,456,2535,
25,IM,manitodeplomo,2635,452,2600,
26,,Aragiotto,2453,449,2477,
27,,Lightlike,2580,445,2559,
28,,NigelChort,2498,444,2447,
29,,rimac_c2,2460,444,2421,
30,NM,Cayden52,2399,444,2346,
31,FM,schmetzger,2369,442,2384,
32,,cheetosss,2221,442,2138,
33,,Barys_KZ,2409,441,2389,
34,,KokeFischer,2377,441,2384,
35,,Matwey123,2296,438,2204,
36,IM,DataRace19,2642,437,2650,
37,,TheEssssjuuus,2448,436,2413,
38,,CheckAB,2422,435,2428,
39,,Fasmc17,2436,433,2399,
40,IM,BoardDemon,2573,432,2484,
41,FM,Hadza_3,2529,431,2456,
42,IM,purzelbaumer,2448,431,2452,
43,,Turaputo,2474,430,2392,
44,,Sting2010,2302,429,2270,
45,,Manovella,2361,428,2227,
46,,Paavo87,2510,427,2453,
47,,SwarmerZ,2533,426,2512,
48,CM,Kingscrusher-YouTube,2505,425,2440,
49,,HUB18,2370,425,2390,
50,,Yusup_Atabayev,2737,423,2576,
51,,GlazAlmaz,2422,423,2413,
52,IM,qeeqer,2542,415,2510,
53,,Chess18-25,2278,415,2181,
54,,gkoul,2413,414,2355,
55,,yantares,2399,413,2383,
56,,Ushkothebear,2475,411,2414,
57,,FOSTA-CHIBZ,2370,411,2319,
58,,deathreaper1999,2371,409,2392,
59,,frogxx,2299,409,2262,
60,,Fritzi_2003,2652,408,2506,
61,IM,Alexr58,2480,407,2458,
62,FM,SALVA-DALI-07,2757,406,2608,
63,,kovadlinka,2440,403,2386,
64,FM,Palachev_Petr,2734,402,2597,
65,FM,WattSchrott,2404,401,2386,
66,,SharkieCroc,2560,400,2497,
67,CM,MrKooshaJ,2602,400,2475,
68,,josep09,2470,400,2449,
69,,pincet,2504,399,2514,
70,,PerfsheRadgestMistzh,2597,399,2495,
