Rank,Title,Username,Rating,Score,Performance,Team
1,,susimylove,2391,86,2483,
2,,TheBerzerKing,2395,77,2599,
3,,TAYA_GNIASSS,2400,73,2343,
4,,NigelChort,2413,72,2489,
5,,koziavka,2426,71,2419,
6,,Viktor_Tahirov555,2402,69,2309,
7,CM,PchelkinVK,2594,68,2571,
8,,DVRazor,2467,62,2440,
9,,Misterfox120,2204,59,2276,
10,,squid71,2400,56,2460,
11,,tomcio1986,2256,56,2357,
12,,TamirErez444,2164,53,2143,
13,FM,dr_xStranger,2509,51,2440,
14,,Fun4allofus,2492,51,2325,
15,,SchroedingersQueen,2330,51,2279,
16,,Akmyradow88,2090,50,2337,
17,CM,Paff-Morris,2542,49,2397,
18,,MoH7709,2296,49,2349,
19,,jesvar21,2111,48,2229,
20,,GranFaraonI,2158,44,2289,
21,,sedziadredo,2149,44,2272,
22,,Archimboldi,2273,44,2238,
23,,svircho,2138,44,2200,
24,,Superradous,2098,44,2115,
25,,chesskingmaina2,2167,43,2140,
26,,rainment400,2285,42,2465,
27,,mikmilli,2313,42,2443,
28,,Thuri,2376,42,2432,
29,,JoachimDa,2285,42,2252,
30,,sanasesino,2168,42,2238,
31,,alexcoroagreg,2071,42,2089,
32,,Pivikov---___0709,2040,41,2128,
33,,JR_chess123,2109,41,2120,
34,,blabliblub123,2462,40,2477,
35,,Refugee2011,2326,40,2277,
36,,casuscelli29,2179,40,2208,
37,,JuniorKakooza,2113,40,2132,
38,,ChessHass,2216,39,2363,
39,,corazondeleon99,2120,39,2325,
40,,jantonio1984,2415,39,2218,
41,,denishendaye,2154,39,1970,
42,,amcs,1997,39,1966,
43,,runtilmorrow,2379,38,2346,
44,,Pskov_rulit,2379,38,2239,
45,,MayKingMarch,2183,38,2198,
46,,Schachmeister2004,2185,38,2176,
47,,ibonuribeetxebarria,2101,38,2001,
48,,JonSmit,1842,38,1904,
49,,BARON68,2024,37,2232,
50,,Wolke2064,2232,37,2229,
51,,Waurp,2063,37,2039,
52,IM,Arathorn2,2374,36,2404,
53,,euri-Bahoruco,2230,36,2398,
54,,IlyaKrikun,2309,36,2218,
55,,waelshehawy,2048,36,2158,
56,,xHehehehehe,2070,36,2065,
57,,matanant,2145,36,2053,
58,,themaskedwolf,2127,35,2366,
59,,Chepcov,1983,35,2013,
60,,bulbizar,2387,34,2268,
61,,stas30,2105,34,2213,
62,,Mubeenkhan,2084,34,2194,
63,,Leonid2017,2183,34,2168,
64,,Zastrozhyn,2158,34,2089,
65,,OauJ,2013,34,2084,
66,,amonra394,2235,34,1998,
67,,babaab,1894,34,1899,
68,,Myslenice,2289,33,2420,
69,,sokrat12345,2026,33,2331,
70,,Aggie2012,2105,33,2290,
71,,shahmatpatblog,2384,33,2251,
72,,Razmenchic,2419,33,2215,
73,,gkchessgk01,1782,33,2012,
74,,Efeerten53,2275,32,2419,
75,,arielofek,2550,32,2419,
76,,bamlipto,2240,32,2398,
77,,PijaniKondenzator,2289,32,2391,
