Rank,Title,Username,Rating,Score,Performance,Team
1,,SC_9ferzej,2481,57,2460,
2,NM,Chesspirate_Channel,2438,48,2451,
3,,RonjaS,2325,43,2412,
4,,AerialAttack,2167,42,2291,
5,,MoH7709,2278,41,2283,
6,,BTM1995,2094,41,2131,
7,,Universal85,2298,40,2400,
8,,tomcio1986,2249,40,2266,
9,,alikeremkarakilincc,2190,39,2219,
10,NM,janisdaudz,2084,38,2187,
11,IM,RL12,2189,36,2489,
12,,Heikonator,2246,35,2190,
13,,RodNixon,2027,35,1933,
14,,Lisov_Stepan,2299,34,2191,
15,,DrAlan1,2137,34,2168,
16,,games_sports,2176,32,2184,
17,,VS-OE-martin,2249,32,2138,
18,,kingpong,2119,32,2136,
19,,Balckgaming,2136,32,2134,
20,,SlackWyrm,2315,31,2192,
21,,diseps,1873,31,2065,
22,,iskoo,2104,31,2063,
23,,DrBarman,1898,31,2034,
24,,sim13a,2427,30,2353,
25,,JAIN_NITIN,1881,30,2203,
26,,Bambam053,1931,30,2089,
27,,koushan63,2067,29,2180,
28,,BEBBANGBURG,1830,29,2112,
29,,RebelJohnny,2617,28,2494,
30,,Vasfid,2254,28,2300,
31,,inlego2020,2246,28,2274,
32,,Pskov_rulit,2387,27,2630,
33,,zazafazaza19901990,2057,27,2222,
34,,ronofir,2067,26,2211,
35,,Kalzatron,2181,26,2174,
36,,amcs,2000,26,2163,
37,,jasb5708,1976,26,2017,
38,,AResearcher,1918,26,1796,
39,,ahmedsamehmohamed,2115,25,2389,
40,,TheBoneless,2148,25,2231,
41,,Nagad_56,1913,25,2117,
42,,SethFreakinRollins,1959,25,2060,
43,,Sagar307,1918,25,2005,
44,,DVRazor,2454,24,2414,
45,,Viktor_Tahirov555,2391,24,2371,
46,,Cabili_Titomar1,2177,24,2321,
47,,Kupres,2125,24,2262,
48,,somefancynick,2106,24,2196,
49,,micuzzus,2131,24,2185,
50,,Takondwa99,1894,24,2133,
51,,Artemdongurool,1845,24,2098,
52,,ABNER_OLIVA123,1972,24,2084,
53,,nerdolasarado,1926,24,2075,
54,,ChessMasterClass,2204,24,2030,
55,,PsihAnalitik,1925,24,1905,
56,,erbaluce,1882,23,2291,
57,,TamirErez444,2183,23,2224,
58,,EdinChampion,2062,23,2211,
59,,kss1964,2060,23,2069,
60,,Siddharthsanjoy,1912,23,2055,
61,,Fadl,2039,23,2041,
62,,Jsauce,2124,23,2013,
63,,momogenius,1983,23,1954,
64,,Mariomiranda2020,2093,22,2314,
65,,chessfather,2150,22,2239,
66,,Eses_Nilmar_55,1808,22,2233,
67,,stariy-papuas,2085,22,2174,
68,,Volk732611,2001,22,2040,
69,,MarcusWolters,1916,22,2010,
70,,Free-piece2000,2073,22,1990,
71,,shavmark,2111,22,1986,
72,,Riziky,1856,22,1983,
73,,AIRBONE,1722,22,1918,
74,,rubinsteen,1872,22,1897,
75,,Zlobniy_Bulbulyator,2142,21,2470,
76,,Kartoffelkaefer,2334,21,2320,
77,,f7er6h,2092,21,2222,
78,,saadkilany,2215,21,2084,
79,,xasan65,1921,21,2035,
80,,manjunathj,1776,21,1820,
81,,texwiller1965,1709,21,1798,
82,,alex-sold,2248,20,2443,
83,,lolopo38,2159,20,2386,
84,,danilaole,1931,20,2376,
85,,Matakor,2245,20,2303,
86,,casomir,2169,20,2168,
87,,NKiss,2358,20,2149,
88,,Fe_m1342,1942,20,2119,
89,,tsedawa,2241,20,2105,
90,,Roi-Reveur,2299,20,2082,
91,,Bradford1980,2024,20,2053,
92,,Wh1tes1de,1968,20,2026,
93,,Leonid2017,2212,20,2020,
94,,babaab,1920,20,1987,
95,,Emadato,1880,20,1959,
96,,Misha_pro,2001,20,1914,
97,,loganlobezno5,1952,20,1720,
98,,Bassam74,1981,19,1953,
99,,krlesah,1813,19,1820,
100,,RubenIguazu1982,2046,18,2341,
101,,drmax1956,2186,18,2268,
102,,sheykhneyshabur,1980,18,2182,
103,,zlatko821975,1832,18,2179,
104,,Wael1988,1862,18,2067,
105,,keralachessYT,1942,18,1976,
106,,knightfought,1715,18,1958,
107,,JRSalvadorIII,1942,18,1908,
108,,Pantaneiro100,1850,18,1834,
109,,madybady,1826,18,1825,
110,,m4sry,1757,18,1780,
111,,NikitaE4,1983,18,1775,
112,,Zigmund_94,2152,17,2155,
113,,johnpohn,1941,17,2116,
114,,zvrk12,1911,17,2084,
115,,detto,1978,17,2068,
116,,Eduardo8101,1753,17,2049,
