Rank,Title,Username,Rating,Score,Performance,Team
1,,KragHag,2302,57,2333,
2,,adhamsabary,2244,54,2207,
3,,D33,2326,47,2346,
4,,Leichtes_Spiel2022,2050,43,2260,
5,IM,Kirill_Klyukin,2640,41,2466,
6,,tomcio1986,2269,41,2361,
7,,vita_chess,2079,41,2148,
8,,DVRazor,2433,38,2205,
9,,euri-Bahoruco,2237,38,2081,
10,,Todamont,1967,34,2003,
11,,hemamedOussama,2204,33,2137,
12,,maxim332,2265,32,2402,
13,,Pskov_rulit,2365,32,2306,
14,,Oscrack2020,2204,32,2247,
15,,LucianadeMaria,1945,31,2475,
16,,MoH7709,2257,31,2124,
17,,Olga-1966,1789,31,1855,
18,,Kobracan,2156,30,2281,
19,,STUMAR,2131,28,2178,
20,,stanimir888,1955,28,1998,
21,,Pinar220957,2266,27,2235,
22,,Varchavianka,2271,26,2258,
23,,Doubleforward,2002,26,2220,
24,,OauJ,2011,26,2139,
25,,Jaykson8,2009,26,2123,
26,,AGNkherson23,1787,26,2068,
27,,X_Man2010,2101,26,2026,
28,,Micael1000,1987,26,2021,
29,,Lug77,1911,26,1975,
30,,RogerEksjo,2027,26,1915,
31,,dauerlatte26,2142,25,2464,
32,,Vadik10,2106,24,2503,
33,,aeapmestre,2251,24,2324,
34,,kamaro_1,2184,24,2277,
35,,lepilule,1924,24,2207,
36,,gugungunadi07,2087,24,2205,
37,,freehumanity,2299,24,2202,
38,,Remi25,2012,24,2173,
39,,Sergchessok,2143,24,2127,
40,,thiagoxdjjj,1795,24,2026,
41,,stoffohr,1816,24,1948,
42,,magalang8888,2051,23,2240,
43,,Infi1830,1941,23,2214,
44,,alchemist48,2181,23,2174,
45,,Migr71,2074,23,2067,
46,,hamidreza786,2157,23,2057,
47,,SANTIAGO2019,2111,23,2049,
48,,Lobao42,2182,23,2030,
49,,ronofir,2102,22,2440,
50,,shohan23,2053,22,2190,
51,,NPC_Blunder,2098,22,2026,
52,,Teketek1,2104,22,2007,
53,,BlackKnight98,2547,21,2315,
54,,bayramates,2043,21,2187,
55,,Horus021,2246,21,2114,
56,,rafecas,1933,21,2047,
57,,sergPe,1896,21,2000,
58,,sahparov,2043,21,1968,
59,,Singal565,2042,21,1962,
60,,RudiCigelski,2011,21,1937,
61,,isimsek1965,1899,21,1889,
62,,KLBennett,2465,20,2403,
63,,TakeiitIzzy,2114,20,2300,
64,,klausdiekmann,2014,20,2201,
65,,terafliu,2108,20,2172,
66,,Leonid2017,2205,20,2134,
67,,machchhar,2039,20,2126,
68,,Boszrg,2035,20,2077,
69,,aeres,2032,20,2066,
70,,lemassacreur,2115,20,2057,
71,,detto,1972,20,1960,
72,,pupper1994,2041,20,1935,
73,,HindsightIs2700,2424,19,2299,
74,,Simon1234567899,1756,19,1823,
75,,Felix_bn,2134,18,2292,
76,,Dreamsfox,2027,18,2228,
77,,KMW2021,1972,18,2222,
78,,Mickey_Blue_Eyes,2488,18,2171,
79,,resky_p7,1896,18,2154,
80,,glorious-caissa,2115,18,2121,
81,,McMoo,2224,18,2077,
82,,sonf,1960,18,2021,
83,,BurdovAE,1944,18,1937,
84,,Graf_Monte_Kristo05,2042,18,1845,
85,,AKanakov,2286,17,2244,
86,,Catarinaxx,2086,17,2211,
87,,alexsal13,1935,17,1996,
88,,zukunftschef,1958,17,1979,
89,,iustinV,2007,17,1895,
90,,croatia83,2027,17,1815,
91,,BagBum,1482,17,1635,
92,,Matakor,2257,16,2482,
93,,BussDriver,2555,16,2414,
94,,DiegoK,2106,16,2364,
95,,Kholpilova,2320,16,2364,
96,,Mariomiranda2020,2080,16,2360,
97,,f7er6h,2108,16,2330,
98,,ahmedsutan20192020,2147,16,2304,
99,,Aleksei199545,1959,16,2153,
100,,Catalivio,1803,16,2150,
101,,mohsenjojo74,1956,16,2137,
102,,YuriyKondr,1954,16,2090,
103,,sergo1604,1910,16,2081,
104,,ava1397,1934,16,2045,
105,,Kuznecov-1962_2022,2086,16,2032,
106,,rejhio,1824,16,1991,
107,,JulioCPS,1755,16,1961,
108,,asssavvs,1925,16,1942,
109,,OscarOmar,1733,16,1929,
110,,BTM1995,2075,16,1902,
111,,Skylynx000,1760,16,1895,
112,,MOHAMED_ALHARTHI,1869,16,1884,
113,,VelemajstorMe,1820,16,1882,
114,,fortune-kook,1864,16,1843,
115,,mira2004,1830,16,1814,
116,,nik12345kkk,1988,16,1798,
117,,ficher2016,1782,16,1758,
118,,alialpersen,1657,16,1705,
119,,Astrilla,2343,15,2377,
120,,Alkun57,2107,15,2250,
121,,zedoju,2015,15,2216,
122,,saadkilany,2215,15,2191,
123,,LowKeyFIRE,1910,15,2140,
124,,Kurznoppe,2062,15,2093,
125,,magno18,2046,15,2089,
126,,Soulman_howdey,1740,15,2082,
127,,somefancynick,2109,15,2078,
128,,I_Vankatabe,1924,15,1991,
129,,rooommm2,1711,15,1851,
130,,capabl4nca,1890,15,1840,
131,,GeoNeoTao444,1766,15,1838,
132,,Faithbian,1910,15,1822,
133,,micuzzus,2136,14,2355,
134,,Rezan87,2209,14,2188,
135,,Taylorking,1879,14,2176,
136,,LuleaSweden,2241,14,2133,
137,,aboslahadm,1891,14,2064,
138,,Michiel6,2163,14,2054,
139,,kevinbairstow,1997,14,2050,
140,,Mubeenkhan,2126,14,2046,
141,,Dauerlaeufer,2028,14,2014,
142,,Meloch1,2010,14,1988,
143,,esadsahman,1826,14,1968,
144,,Dalgarno,1875,14,1963,
145,,samad_110,2056,14,1962,
146,,TroyGriff,1661,14,1951,
147,,tobyjv,1813,14,1906,
148,,Janher111,1992,14,1869,
149,,Caaguazu,1777,14,1755,
150,,sitekra,1903,14,1752,
151,,chepkech,1949,14,1732,
152,,boufos,1641,14,1707,
153,,DemianBudz,1431,14,1606,
154,,Zlobniy_Bulbulyator,2154,13,2364,
155,,privitx,2021,13,2239,
156,,Celkiller,1994,13,2081,
157,,Jezyk1952,1992,13,2026,
158,,evgentall,1866,13,1997,
159,,blackidentity,1656,13,1991,
160,,Mirko1956,2132,13,1979,
161,,Slavik-1991,1854,13,1977,
162,,Stueystylez,1569,13,1915,
163,,Sandygm,1842,13,1893,
164,,nissimsharabi,1847,13,1853,
165,,OmitK,1658,13,1767,
166,,nissfayabraham0,1738,13,1766,
167,,aksu7,1703,13,1731,
168,,drdalakas,1673,13,1555,
169,,Khosarashid,1639,13,1434,
170,,Gica505,2405,12,2314,
171,,Aliconect83,2125,12,2244,
172,CM,DrCeltic,2368,12,2229,
173,,Kureliovaleksander,1949,12,2167,
174,,Riabokon_Artem_2013,1717,12,2143,
175,,Virgiliouno,2086,12,2139,
176,,B_Flyer,1797,12,2120,
177,,sergyocamelo,1959,12,2108,
178,,JoseAntonio17,1795,12,2089,
179,,PonySunset,1879,12,2060,
180,,Y0ur_king,1941,12,2055,
181,,RubenIguazu1982,2016,12,2034,
182,,KRIVBASS,1814,12,2033,
183,,AbdullahAlim,1824,12,2033,
184,,Shashidhar02,1521,12,2014,
185,,domin63,1727,12,2004,
186,,reachmemeeran,1828,12,1999,
187,,bhavvessh,1819,12,1994,
188,,wierzba95,2011,12,1960,
189,,san12bendre,1792,12,1924,
190,,abro-pnda,1790,12,1897,
191,,Ricar123,1715,12,1893,
192,,Theodoros_60,1817,12,1839,
193,,dumpmeister,1682,12,1835,
194,,Forhavu,2043,12,1826,
195,,kol73,1814,12,1817,
196,,sametadmish,2060,12,1809,
197,,Grandmaster_Shaq,1797,12,1786,
198,,mipawlak86,1861,12,1780,
199,,ConanDaDestroyer,1684,12,1742,
200,,Razvan1709,1600,12,1636,
201,,pearmaos79,1659,12,1548,
202,,Ufokosm2,980,12,1531,
203,,Watch1970,1692,12,1519,
204,,v_eno_m,2453,11,2447,
205,,oymor,2182,11,2265,
206,,Alecsis2013,2331,11,2262,
207,,YslDon,1875,11,2151,
208,,TheDoctorYouCanTrust,1769,11,2116,
209,,tinku_dutta,1847,11,2088,
210,,Agent_Scully,2059,11,2079,
211,,jessica-98,1941,11,2048,
212,,Tinei,1726,11,2031,
213,,lateknightpawn,1912,11,1968,
214,,mahosnyone,1840,11,1967,
215,,mezz75,1877,11,1947,
216,,jixxit,1737,11,1940,
217,,Stxmld,1764,11,1937,
218,,amcs,1966,11,1912,
219,,Yrij41,1971,11,1877,
220,,Qwasdfzxcvbn,1978,11,1858,
221,,UliKing,2157,11,1847,
222,,Ubiracyy,1681,11,1845,
223,,fcojavierorihuela,1867,11,1747,
224,,terryjackson1,1762,11,1747,
225,,Alexandergaxc,1841,11,1728,
226,,Saikrishnakr,1511,11,1705,
227,,prokriti,1709,11,1640,
228,,Chamseddine77,2031,10,2377,
229,,Jayasimha,1901,10,2276,
230,,TommyLee14,2083,10,2273,
231,,Nabeltahsen,2153,10,2263,
232,,gpeer_1952,2015,10,2228,
233,,chess959595,1708,10,2203,
234,,lon_king,2218,10,2174,
235,,Ask_me,2093,10,2077,
236,,Ridede,1769,10,2001,
237,,Kamala_36,1745,10,1975,
238,,Tipsntaps,1913,10,1934,
239,,paulx8x,1754,10,1914,
240,,Emadato,1886,10,1895,
241,,pedrojcoru,1607,10,1895,
242,,ATHAN2009,1769,10,1880,
243,,blackhourse8,1875,10,1870,
244,,aifel,1863,10,1864,
245,,sheykhneyshabur,1968,10,1850,
246,,daviy,1818,10,1848,
247,,alexonsar,1929,10,1839,
248,,Kavonoz,1657,10,1812,
249,,aptakar,1676,10,1803,
250,,JoshGOpps,1881,10,1793,
251,,klima2626,1898,10,1739,
252,,barancev7,1742,10,1707,
253,,parvinhamanaram,1593,10,1680,
254,,raygeo,1736,10,1656,
255,,masoud765,1594,10,1646,
256,,PhoebeSkaiJ,1610,10,1625,
257,,krlesah,1792,10,1609,
258,,B00721,1702,10,1607,
259,,SarfTM,1790,10,1607,
260,,safecastle,1715,10,1584,
261,,Nikolay_Laptev,1182,10,1442,
262,,Jsauce,2124,9,2264,
263,,UsagiBlunder,1842,9,2145,
264,,xasankulu,2107,9,2136,
265,,Eusekevin,2065,9,2098,
266,,Grytegutten,2104,9,2093,
267,,trancaxo,2017,9,2092,
268,,valzkie,2108,9,2055,
269,,ahmetsuhabuykcnz3474,1847,9,2054,
270,,Tomate-San,1744,9,2046,
271,,ahmt65,1781,9,2011,
272,,stancho31,1935,9,1978,
273,,vopaev,1959,9,1976,
274,,Saeed19,1850,9,1958,
275,,EMERCOM1980,1796,9,1949,
276,,pupsichek,1798,9,1907,
277,,chessisadream,1851,9,1882,
278,,borisych46,1839,9,1878,
279,,PanchenkoV,1742,9,1741,
280,,miteran,1642,9,1738,
281,,mab_ravel,1891,9,1676,
282,,dirtyrottenpig,1900,9,1659,
283,,Yasertahery,1640,9,1560,
284,,hadihariskv,1610,9,1512,
285,,sindra57,2136,8,2621,
286,,Hatem_d,2052,8,2476,
287,,KimDem,2081,8,2425,
288,,Virgis23,2435,8,2367,
289,,sobkors,2033,8,2331,
290,,patate45,1977,8,2328,
291,,dimon-V,2023,8,2301,
292,,adrigrig,1875,8,2284,
293,,grg121,2309,8,2266,
294,,Nitesh7770,1887,8,2237,
295,,PROGRESSUS-CHESS,2423,8,2235,
296,,OrlandM01,2027,8,2234,
297,,peter-br,1971,8,2206,
298,,Btours,1993,8,2157,
299,,CatPetros,1871,8,2151,
300,,jmt74,2222,8,2147,
301,,chaide,1768,8,2143,
302,,Dollar26,1843,8,2122,
303,,sah_quel_plaisir,2447,8,2118,
304,,Livaus2015,1416,8,2089,
305,,grandiloquence,1655,8,2083,
306,,Dclrk,1968,8,2063,
307,,NormanHakwa,1862,8,2049,
308,,ioanCan,2220,8,2045,
309,,kingpong,2102,8,2037,
310,,Russiantc,2073,8,2034,
311,,turas30,1937,8,2027,
312,,helichrysum,2046,8,2012,
313,,blazeslicer,1453,8,1994,
314,,SethFreakinRollins,1911,8,1993,
315,,Adan_Simeulue,2053,8,1985,
316,,joseluisgomez11,2144,8,1980,
317,,roderickmtucker,1717,8,1967,
318,,thebuckers,1676,8,1965,
319,,pfierrocereceda,1988,8,1962,
320,,ferrari_41,1375,8,1961,
321,,leoneltahl,1937,8,1951,
322,,johkamar99,2106,8,1945,
323,,Udavko_1984,1649,8,1920,
324,,NNNNNNNNNNNNNNNNNNNN,1861,8,1917,
325,,salsachess,1856,8,1898,
326,,marie25,1902,8,1891,
327,,ParijatMajumdar,1925,8,1886,
328,,EduardCNemocon,2167,8,1884,
329,,Yr-R-deemm-ru,1987,8,1880,
330,,Jazminay2015,1906,8,1879,
331,,louwyhs,1248,8,1878,
332,,AlixM,2086,8,1874,
333,,nekoomehr,1806,8,1873,
334,,sathishkumar1196,1724,8,1865,
335,,leonardorafael2011,2105,8,1849,
336,,mZabost,1605,8,1841,
337,,Belletheny,1609,8,1839,
338,,luquitas2018,2220,8,1829,
339,,chesspro82,1659,8,1827,
340,,Iam_Ramos,1963,8,1826,
341,,Kedrof5,1475,8,1826,
342,,kirollos_Abdo,1757,8,1820,
343,,Klein1234,1441,8,1805,
344,,teamster,1485,8,1782,
345,,zionlambemkk,1852,8,1775,
346,,Basser789,2095,8,1769,
347,,Paul_Ka92,1744,8,1754,
348,,Isador,1664,8,1754,
349,,Edvard7171,1685,8,1746,
350,,MyLoNiTe,1786,8,1742,
351,,plausibleinstrument,1796,8,1741,
352,,Dkgwby,1990,8,1736,
353,,zudaaa,1777,8,1733,
354,,StarOff_1983,1488,8,1719,
355,,FRihhiWHeri,1690,8,1673,
356,,Bulat420,1570,8,1613,
357,,ILHOM_AZIZOV,1805,8,1610,
358,,I_try_to_think,1851,8,1608,
359,,Mohsen_7171,1560,8,1605,
360,,Chempionmira,1807,8,1603,
361,,Miroving,1512,8,1595,
362,,commysar,1890,8,1589,
363,,Luisjorquera,1650,8,1584,
364,,chesswuss,1562,8,1564,
