Rank,Title,Username,Rating,Score,Performance,Team
1,,DenisZyablov,1625,24,2045,
2,,AzadGuseynov,1577,21,1753,
3,,ali_okkes,1480,16,1979,
4,,pietronontorno,1638,16,1794,
5,,Gleb_Netesa,1659,16,1648,
6,,yudacchi,1648,14,1914,
7,,sambit-chatterjee_11,1645,14,1877,
8,,SamTheMagician,1634,14,1783,
9,,umtutu,1442,14,1523,
10,,Vishymagnus1,1627,13,1720,
11,,Chessplayer327667,1707,12,2059,
12,,FGHG485848,1670,11,1681,
13,,ismayilov25,1604,10,1895,
14,,rodin68,1671,10,1736,
15,,d2ntik,1569,10,1697,
16,,DT64,1536,10,1561,
17,,thor24,1471,10,1561,
18,,SamAmani,1541,9,1812,
19,,MMagarotto,1603,9,1552,
20,,Racing_Kings2021,1661,8,2122,
21,,Abbass-kar,1623,8,2086,
22,,alisorosh,1622,8,2072,
23,,Naitik2708,1674,8,2065,
24,,SharpShrillex,1704,8,2057,
25,,kotyara60,1682,8,2033,
26,,Swarajk,1674,8,1927,
27,,Anton_Wang,1318,8,1908,
28,,Jaindaiwik,997,8,1901,
29,,soeq,1670,8,1809,
30,,MaksBodak,1660,8,1800,
31,,EvgenyAnokhin,1559,8,1788,
32,,nageshrv29,1603,8,1710,
33,,Sankar_v,1674,8,1702,
34,,Lorenz0M,1387,8,1666,
35,,golf_2,1678,8,1637,
36,,Anasahmed003,1649,8,1620,
37,,Knaxs,1475,8,1584,
38,,laxmiswabhanu,1210,8,1557,
39,,Mishka2014,1633,8,1553,
40,,rog_o,1492,8,1474,
41,,comeonbruhdontgiveup,1608,8,1431,
42,,thachessgrandmaster,1521,8,1321,
43,,THECRoZ,1445,7,1908,
44,,sqwalsh,1638,6,1844,
45,,Arnavbidada8x8,1469,6,1716,
46,,Abolghasem-h1,1613,6,1712,
47,,trewqa,1572,6,1708,
48,,Sasha-Dub2013,1532,6,1690,
49,,bhattraj2002,1679,6,1668,
50,,cemex2022,1473,6,1630,
51,,Efe3000Ke,1547,6,1605,
52,,Anrazc,1468,6,1577,
53,,AdenAgus1922,1548,6,1536,
54,,deroge,1583,6,1510,
55,,LuismiInTheZone,1295,6,1492,
56,,LeoBodak,1250,6,1444,
57,,GGSergeev,1278,6,1406,
58,,Mat_2014,1433,6,1382,
59,,Irina_79,1321,5,1563,
60,,IlyaZh,1570,5,1519,
61,,kabirhanda,1613,5,1486,
62,,sparshing,1527,4,2128,
63,,Grom121,1712,4,2106,
64,,Benakal,1455,4,2104,
65,,FrancisFlow,1675,4,2024,
66,,Champ-123,1403,4,1981,
67,,Nastja_rostar,986,4,1962,
68,,Poyraz3334545,1402,4,1945,
69,,zerotwosmelody,1464,4,1945,
70,,Sajalkchandrakar,1393,4,1895,
71,,Sarero,1635,4,1751,
72,,Sudip1808,1570,4,1742,
73,,btp2k8,1520,4,1722,
74,,akbarnahangi1,1541,4,1689,
75,,RodgerRook,1561,4,1658,
76,,P_hemani,1484,4,1585,
77,,dtikhan,1606,4,1582,
78,,Zirene,1344,4,1577,
79,,jos2107,1403,4,1571,
80,,BrinyTeam,1426,4,1563,
81,,Sadibek1212,1517,4,1546,
82,,Simy5280,1523,4,1520,
83,,Buddy2604,1201,4,1515,
84,,CheRusel,1581,4,1513,
85,,xImRealL3gend,1615,4,1511,
86,,red_guest,1596,4,1489,
87,,darkplaces,1497,4,1459,
88,,Iran1373,1627,4,1439,
89,,Cherepnev,1364,4,1437,
90,,Mythilipalani,1342,4,1427,
91,,jnco,1453,4,1424,
92,,Panianchuk,1417,4,1423,
93,,vihaan_jain123,1606,4,1422,
94,,Petr_Kondratev,1534,4,1409,
95,,PATMAT84,1513,4,1379,
96,,core17,1654,4,1375,
97,,Zakhar_3axap,1481,4,1326,
98,,Sarvesram,979,4,1302,
99,,franco84,1425,4,1294,
100,,Stiralka,1405,4,1275,
101,,Vosernivlakol123,1534,4,1232,
102,,Steve-G,1371,4,1228,
103,,sanjeevek,1240,4,1128,
104,,parvinhamanaram,1601,3,1554,
105,,GUSILO007,1550,3,1461,
106,,subham123456789,1609,3,1431,
107,,hirudoid,1547,3,1257,
108,,jrfchess,1502,3,1205,
109,,Avetis2010,1677,2,2171,
110,,Sabatha,1665,2,2146,
111,,Scorp7727,1537,2,2143,
112,,Rubesh_PPSCA,1232,2,2098,
113,,Stas1808,1531,2,2047,
114,,YASWANTH2012,1513,2,2028,
115,,talmonmatias95,1522,2,2018,
116,,pepethafrog,1553,2,2014,
117,,edwin2013,1087,2,2006,
118,,LevJSM,1540,2,1981,
119,,NLPC,1460,2,1959,
120,,tomato_un,1555,2,1955,
121,,pealicker,1496,2,1948,
122,,dr_sisyphus,1370,2,1931,
123,,k21umut21,1564,2,1907,
124,,Jade_Chow,1565,2,1779,
125,,hazayfa2005,1619,2,1628,
126,,mihalos,1480,2,1622,
127,,Svyat2506,1574,2,1594,
128,,Aleksandr_3000,1144,2,1580,
129,,chesswuss,1563,2,1580,
130,,ggonline306,1475,2,1574,
131,,Matvey_125,1526,2,1568,
132,,EmilHemzeyev,1039,2,1562,
133,,zoro67,1417,2,1553,
134,,himanshu286286,1510,2,1545,
135,,nohandlebars,1670,2,1539,
136,,i_war,1458,2,1528,
137,,Anbit11,1575,2,1508,
138,,zo2a,1580,2,1507,
139,,igor2022,1428,2,1460,
140,,chesstomatore,1315,2,1438,
141,,yahgoled,1391,2,1403,
142,,Leusopp123,1641,2,1390,
143,,vladimir67,1454,2,1387,
144,,Galender,1281,2,1384,
145,,Shukurov_Seraphim,1505,2,1369,
146,,maxArt888,1589,2,1336,
147,,BasilePoulopoulos,1562,2,1323,
148,,KD_1904,1614,2,1320,
149,,doomids,1402,2,1313,
150,,PhuocBinh,1432,2,1312,
151,,ElenaZy,1588,2,1307,
152,,starkhanesi,1555,2,1300,
153,,DaniilShyhin,1514,2,1283,
154,,BurnashevA2021,1071,2,1278,
155,,Farnoodshokri1390,1301,2,1251,
156,,lotfi11,1492,2,1245,
157,,pageman,1269,2,1208,
158,,ShutovKirillM,1078,2,1207,
159,,MrDarwin505,1025,2,1207,
160,,Maniparu,1442,2,1188,
161,,syrianchamp,1148,2,1162,
162,,BaharAmani,1630,2,1156,
163,,ChocolateStrawberry,1623,2,1150,
164,,Hritombej,707,2,1143,
165,,dorukcelik2,1336,2,1138,
166,,GORDEY_23,1488,2,1106,
167,,mk2424,1582,2,1065,
168,,Nurali1206,1246,2,1059,
169,,Dobrusin_Mark2012,1164,2,1049,
170,,sviat2011,1403,2,1036,
171,,muhammedikbalsakirog,1305,2,1015,
172,,IrohaScent,902,2,955,
173,,Alexxx79,1575,1,1603,
174,,Ro-Pok,1661,1,1580,
175,,superAzer2,1459,1,1549,
176,,SamyG76,1583,1,1381,
177,,Inova1234,1386,1,1304,
178,,Alirezakamkar123321,1373,1,1278,
179,,q1355w1364,1370,1,1148,
180,,Cosmicsquirrel,1379,1,1004,
181,,SumitaBedi,976,1,989,
182,,Danylo3,1638,0,,
183,,joelkaka,1623,0,,
184,,LaSburra,1610,0,,
185,,Tonymagdy,1571,0,,
186,,karenosu,1525,0,,
187,,alfnot,1518,0,,
188,,Milindyt1,1476,0,,
189,,lehutin,1476,0,,
190,,akabey,1474,0,,
191,,minhquang4a1,1448,0,,
192,,SahilBele2004,1393,0,,
193,,SunShader,1391,0,,
194,,Nikita123868,1372,0,,
195,,HamidGhoreyshi,1317,0,,
196,,magnusFiroozja,1308,0,,
197,,blackranger5,1270,0,,
198,,niklavsl,1245,0,,
199,,Nethuli_Paranagama,1243,0,,
200,,shehin,1220,0,,
201,,Lars_schach,1214,0,,
202,,Dhruv_dileep,1525,0,1202,
203,,Demir1353,1198,0,,
204,,IblunderLateGame,1658,0,1193,
205,,putak_313,1657,0,1178,
206,,RailMMM,1663,0,1172,
207,,Firuz1982,1481,0,1162,
208,,Plo_t-veer41,1154,0,,
209,,Leonkinggny,1634,0,1151,
210,,navid2015,1599,0,1142,
211,,Akimilin,1599,0,1132,
212,,rukruk,1418,0,1131,
213,,ishan4680,1605,0,1120,
214,,Gross77,1509,0,1116,
215,,fun_1,1572,0,1108,
216,,dima_gls,1061,0,1106,
217,,A2L,1534,0,1092,
218,,bpombepr,1568,0,1085,
219,,FortBell,1415,0,1078,
220,,Danialgeorge,1573,0,1074,
221,,Rockstedy,1578,0,1071,
222,,Vulkan80,1644,0,1069,
223,,Trencavel81,1561,0,1066,
224,,eminmus,1539,0,1048,
225,,abankov,1493,0,1048,
226,,Aodc,1493,0,1036,
227,,levonhakobyan,1032,0,,
228,,sydulu,1616,0,1030,
229,,uspsa,1635,0,1029,
230,,Nonzy,1443,0,1028,
231,,Zambomba,1497,0,1027,
232,,orenzino,1541,0,1025,
233,,Matik19,1518,0,1021,
234,,harshjawla,1513,0,1020,
235,,sunny_supreme,1598,0,1020,
236,,Ultimoneurone,1637,0,1019,
237,,SocratisA,1283,0,1017,
238,,sergiojamison,1513,0,1017,
239,,IceKaosthelegend,1437,0,1013,
240,,goodboy2012,1556,0,1011,
241,,cartaro,1570,0,1011,
242,,Aj123673,1513,0,1007,
243,,SDARSH_SKTAM,790,0,1006,
244,,Toni221156,1323,0,999,
245,,noelferreira,1443,0,990,
246,,VovaShunin2011,1494,0,990,
247,,fahrettinchesselif,868,0,989,
248,,professorrrrrrr,1228,0,964,
249,,dalibormaka,1499,0,962,
250,,ewdokim,1328,0,954,
251,,toomie,1452,0,953,
252,,AlekseyMedetskiy,1521,0,947,
253,,LOUOT,1434,0,937,
254,,Amirmath,1646,0,928,
255,,mohsen-oro,1640,0,921,
256,,ciwanni17,1235,0,905,
257,,Tesfa,1619,0,901,
258,,huyenthucovua,1125,0,899,
259,,amitm3477,1342,0,897,
260,,krishnav123,1423,0,893,
261,,Shatra30,1452,0,873,
262,,abrahamalvy,1416,0,872,
263,,discoflex,1325,0,840,
264,,aquifri,1119,0,801,
265,,Palak_20,1262,0,773,
266,,keddariabdela,1233,0,761,
267,,Yoonalii,1277,0,761,
268,,Dolphin_2017,1200,0,736,
269,,funfac,965,0,661,
270,,Vagchess,1047,0,615,
271,,Leewhall,1494,0,576,
272,,Utkumusa2015,1250,0,572,
273,,JIVENDRRAN,915,0,469,
