,Game ID,White Rating,Black Rating,Average Rating,Opening ECO,# of Opening Ply,White avg Centi-pawn Loss,White # of Inaccuracies,White # of Mistakes,White # of Blunders,Black avg Centi-pawn Loss,Black # of Inaccuracies,Black # of Mistakes,Black # of Blunders
0,n30ePcT1,1481,1207,1344,D00,3,33,1,0,1,84,0,0,4
1,BmLCu9KL,1210,1172,1191,C50,8,183,4,1,5,153,4,2,4
2,TZv0A3aa,1319,1373,1346,C46,5,42,3,1,1,86,1,0,4
3,IioqBdrv,1689,1691,1690,C02,7,52,11,3,1,35,3,2,1
4,wA1zslHJ,1659,1704,1681,B30,4,104,5,5,8,110,10,2,10
5,rvolL2wh,1703,1663,1683,A04,2,80,4,4,4,54,3,3,2
6,gNWdIH7M,1245,1635,1440,C34,6,16,1,0,0,67,2,3,0
7,6JXay6f7,2145,1635,1890,C50,6,14,0,0,0,65,5,1,0
8,hquzMyLA,1678,1656,1667,C47,8,32,4,2,0,57,2,4,2
9,LKS0yGsR,1654,1647,1650,A41,2,48,7,1,3,35,6,2,2
10,28PqK4PB,1638,1536,1587,A80,2,52,8,1,4,76,9,3,3
11,2jmBoAke,1645,1653,1649,A45,2,58,2,0,4,97,5,0,2
12,KVgfyqrP,1891,1777,1834,D06,4,24,4,1,0,63,3,3,1
13,t0OM4HIh,1773,1787,1780,B00,2,96,3,4,3,65,2,1,4
14,NP4PUE72,1791,1767,1779,D06,4,90,4,1,5,119,2,2,6
15,W947P0Ns,1239,1240,1239,A84,3,102,5,3,9,105,4,0,9
16,izdmdSWf,1241,1191,1216,D30,4,111,5,4,4,76,5,2,2
17,R4XRNfx2,1249,1235,1242,A40,2,228,2,0,8,265,5,1,9
18,BtfjKC9M,1988,2007,1997,C50,6,49,3,0,2,20,5,0,0
19,EyIXIANF,1968,2020,1994,D26,8,27,4,1,0,60,2,2,2
20,ZOGJPhdS,2021,2028,2024,C53,9,31,4,0,1,71,1,2,2
21,BZLbNfm4,1685,1387,1536,B40,4,44,2,0,2,104,1,0,3
22,BCxYgTHF,1239,1372,1305,B50,4,61,1,0,3,31,0,0,2
23,5mKbvFmB,1791,1380,1585,D10,6,20,3,0,0,39,3,1,2
24,HzROb7Bv,1785,1783,1784,A40,2,60,4,0,1,86,3,2,3
25,tBibigaw,1765,1605,1685,C02,7,112,6,3,4,134,7,4,8
26,IdU4G0W6,1773,1781,1777,C55,6,90,1,1,2,33,2,0,2
27,4geLIwl0,1460,1557,1508,C33,4,105,7,1,4,146,1,2,7
28,VqRhDYSS,1284,1551,1417,C24,4,99,0,1,6,62,0,1,3
29,m6uvxv3p,1538,1253,1395,B00,2,20,4,2,0,61,4,0,3
30,tU4HUFDq,1685,2181,1933,A11,2,79,4,0,1,13,1,0,0
31,buCTnk8h,1678,1364,1521,A22,6,75,3,0,2,42,1,1,1
32,LYsL9NmX,1745,1679,1712,A40,2,46,2,3,1,79,8,1,3
33,KAGenQkg,2374,1785,2079,B76,17,74,5,2,1,57,4,3,1
34,Efe2HQoT,2374,2652,2513,C00,3,56,3,0,2,31,3,1,1
35,bPBdNpYP,2060,2375,2217,B21,3,92,1,1,4,119,1,2,5
36,nrfu3DmZ,1915,1830,1872,A40,1,28,2,0,1,62,3,3,1
37,4sxsf0MF,1821,1816,1818,B12,7,90,4,2,10,74,3,4,6
38,y8kgPCfN,1922,1826,1874,A40,1,20,1,0,0,43,2,1,1
39,7ckpLBoO,1843,2101,1972,B13,5,68,7,2,5,53,7,2,3
40,Pi3LKWb4,1814,1840,1827,C41,4,53,4,2,1,29,2,2,1
41,k4oY7koa,1906,1832,1869,D55,11,77,8,1,5,76,8,2,5
42,oW9pDMPe,1789,1785,1787,D35,7,185,4,2,4,144,2,1,3
43,HLPx77EV,1790,1784,1787,B00,3,115,6,1,5,145,6,0,9
44,gM0M2747,1790,1747,1768,E00,5,88,1,1,2,46,3,3,1
45,xYRLGMAQ,1866,1405,1635,B00,3,14,1,1,0,63,3,1,1
46,A5h5Qe31,1664,1817,1740,C00,3,105,10,0,5,72,7,1,4
47,mWASFz0S,1876,1494,1685,C68,8,96,2,0,3,128,2,2,4
48,9rWaxTEL,2112,2120,2116,C02,7,47,8,1,2,24,3,2,1
49,JscgLxi6,2110,2052,2081,B18,8,22,1,0,0,42,5,2,1
50,LXrfxDPq,2131,1949,2040,B27,6,37,1,2,1,55,2,0,1
